game_id,winner
201404230NYN,home
201408060ANA,away
201409070CHN,home
201406240BAL,away
201404030MIA,home
201406060CHN,home
201407210ARI,away
201409090TOR,home
201408060TOR,home
201405090LAN,away
201404180TEX,home
201407310ARI,home
201405240SFN,home
201405020MIA,home
201407240KCA,home
201408190OAK,home
201405180ARI,home
201408300ARI,away
201404120ARI,away
201405020MIN,away
201405220SDN,away
201408150WAS,home
201404210OAK,away
201408010SLN,away
201405150MIL,home
201408150CHA,away
201405150MIN,home
201407020DET,home
201408260DET,home
201406040MIN,home
201404130SDN,home
201408100MIL,away
201408100CIN,home
201407130COL,home
201407260CIN,home
201409100CIN,home
201406180SDN,home
201405200KCA,away
201407270ATL,home
201405300MIL,away
201405300MIA,away
201405080DET,away
201404170SDN,away
201408040CHA,home
201409100TEX,away
201409260TOR,home
201404190MIA,home
201404290BOS,home
201405260CHA,home
201404140BAL,home
201407270PHI,home
201406020CLE,home
201406200OAK,home
201404160DET,away
201408070COL,away
201409060BOS,home
201406300HOU,home
201409220TEX,home
201405210MIA,away
201407100BAL,home
201409040SDN,away
201407270MIL,away
201407270MIN,home
201405020PHI,away
201407090SFN,home
201407030MIA,away
201404240CHN,away
201407020MIA,home
201407020MIN,away
201405012BOS,away
201407030MIN,away
201408260TOR,home
201404160SFN,home
201408050ARI,home
201405020ATL,away
201408300SDN,home
201408160CHA,away
201409150ARI,home
201407080OAK,home
201405010COL,home
201404180NYN,away
201409110SFN,home
201409060NYA,home
201405130OAK,home
201404160MIA,away
201404160MIL,home
201407240ANA,away
201406170SEA,home
201406110BAL,home
201407180OAK,home
201408090HOU,home
201406170SLN,home
201408120SDN,home
201404060LAN,home
201406060DET,home
201409210HOU,home
201405110CIN,home
201407051BOS,home
201409220CHN,away
201408230TEX,away
201409280SEA,home
201405250SEA,away
201405180BOS,away
201405130SLN,home
201406240TEX,away
201406220NYA,away
201404020HOU,home
201407080TEX,away
201404270SFN,home
201407120NYN,home
201407010NYA,away
201405100NYN,away
201407070ARI,home
201405060OAK,away
201408160SFN,home
201405210NYN,away
201405160TEX,away
201408210CHN,away
201404290NYA,away
201409060DET,away
201404110SFN,home
201409280CLE,home
201406030SDN,away
201408260NYN,home
201406140BAL,home
201407190SDN,home
201409240CLE,home
201404190CLE,away
201409030NYA,home
201405210COL,away
201406281PHI,home
201408150LAN,away
201406040WAS,home
201408160TEX,away
201409010SLN,home
201404080SLN,home
201409130SEA,away
201409020TBA,away
201408230CLE,home
201404040LAN,away
201407260KCA,home
201405210SDN,away
201406180PIT,home
201404230TOR,home
201406090CHA,home
201408250HOU,away
201404270HOU,home
201406110TBA,home
201409150BAL,home
201406070CIN,home
201409030CLE,home
201404172MIN,home
201408060SLN,away
201406272BAL,home
201407200SLN,away
201409170ANA,home
201409200OAK,away
201408140BOS,home
201408310NYN,home
201405240NYN,away
201407100SFN,away
201404150CHA,home
201404170WAS,away
201406080TBA,away
201409060CHN,away
201409140ANA,away
201404260SFN,home
201407250ANA,home
201406200ARI,home
201407300HOU,home
201406170ATL,away
201408100CHN,home
201408260SDN,home
201404240LAN,away
201407260CHN,away
201405200ANA,home
201405240DET,home
201409130DET,home
201407010PIT,home
201405170CHN,home
201407130HOU,away
201404110TEX,home
201408140SLN,home
201407060ANA,home
201406140HOU,home
201408220MIN,away
201409270NYN,home
201408220MIL,away
201406170TBA,away
201405130PHI,away
