last_name,BB,HR,HP,FC,id,first_name,ROE,PA,TB,IBB,AB,D,H,K,team,S,T,SLG,OBP,OPS,SH,Year,AVG,SF
Patek,15,5,1,0,patef101,Freddie,6,309,107,1,291,10,72,26,CAL,52,5,0.368,0.285,0.653,8,1980,0.247,2
Harlow,48,4,1,0,harll101,Larry,0,359,116,1,309,13,83,60,CAL,62,4,0.375,0.368,0.743,4,1980,0.269,1
DeCinces,49,16,3,0,decid001,Doug,9,557,197,5,501,23,122,83,BAL,81,2,0.393,0.312,0.705,4,1980,0.244,4
Berra,16,6,1,0,berrd001,Dale,4,276,84,6,254,8,54,51,PIT,38,2,0.331,0.26,0.591,4,1980,0.213,2
Davis,0,0,0,0,davim001,Mark,0,2,1,0,2,0,1,0,PHI,1,0,0.5,0.5,1.0,0,1980,0.5,0
Rogers,10,0,0,0,roges001,Steve,2,121,13,0,111,0,13,28,MON,13,0,0.117,0.19,0.307,15,1980,0.117,0
Kuiper,13,0,0,0,kuipd001,Duane,2,170,47,3,156,5,42,8,CLE,37,0,0.301,0.324,0.625,3,1980,0.269,1
Davis,7,1,0,0,davim002,Mike,2,112,27,0,104,2,20,14,OAK,16,1,0.26,0.241,0.501,4,1980,0.192,1
Gonzales,0,0,0,0,gonzd101,Dan,0,7,1,0,7,0,1,1,DET,1,0,0.143,0.143,0.286,0,1980,0.143,0
Wise,2,0,0,0,wiser101,Rick,1,64,10,0,62,2,8,21,SDN,6,0,0.161,0.156,0.317,2,1980,0.129,0
Bradford,0,0,0,0,bradl101,Larry,0,3,0,0,3,0,0,1,ATL,0,0,0.0,0.0,0.0,0,1980,0.0,0
Norman,0,0,0,0,normf101,Fred,0,24,1,0,24,0,1,4,MON,1,0,0.042,0.042,0.084,2,1980,0.042,0
Dillard,20,4,1,0,dills101,Steve,3,269,77,2,246,8,55,54,CHN,42,1,0.313,0.283,0.596,0,1980,0.224,2
Smith,41,15,1,0,smitr101,Reggie,3,370,158,1,319,13,100,62,LAN,72,0,0.495,0.384,0.879,0,1980,0.313,9
Lavelle,0,0,0,0,laveg001,Gary,0,17,0,0,17,0,0,7,SFN,0,0,0.0,0.0,0.0,3,1980,0.0,0
Boggs,0,0,0,0,boggt001,Tommy,0,77,10,0,76,0,10,22,ATL,10,0,0.132,0.13,0.262,6,1980,0.132,1
Hancock,3,4,0,0,hancg001,Garry,1,122,51,0,117,6,33,11,BOS,23,0,0.436,0.295,0.731,0,1980,0.282,2
Bosetti,15,4,2,0,boser101,Rick,3,207,61,1,189,7,40,27,TOR,28,1,0.323,0.275,0.598,1,1980,0.212,1
Stargell,26,11,2,0,starw101,Willie,4,232,98,10,203,10,53,52,PIT,31,1,0.483,0.349,0.832,0,1980,0.261,1
Richards,61,4,2,0,richg001,Gene,10,717,247,7,654,26,193,71,SDN,155,8,0.378,0.357,0.735,7,1980,0.295,0
Yost,0,0,0,0,yoste001,Ned,1,30,5,0,30,0,5,5,MIL,5,0,0.167,0.167,0.334,0,1980,0.167,0
Bonner,0,0,0,0,bonnb101,Bobby,0,4,0,0,4,0,0,0,BAL,0,0,0.0,0.0,0.0,0,1980,0.0,0
Norwood,3,1,0,0,norww101,Willie,1,76,17,0,73,2,12,13,MIN,9,0,0.233,0.197,0.43,0,1980,0.164,0
Isales,1,0,0,0,isalo101,Orlando,0,6,4,0,5,0,2,0,PHI,1,1,0.8,0.5,1.3,0,1980,0.4,0
Sosa,0,0,0,0,sosae101,Elias,0,12,1,0,12,0,1,5,MON,1,0,0.083,0.083,0.166,1,1980,0.083,0
Metzger,3,0,0,0,metzr101,Roger,0,32,2,0,29,0,2,2,SFN,2,0,0.069,0.156,0.225,1,1980,0.069,0
Otten,0,0,0,0,ottej101,Jim,0,5,1,0,5,0,1,1,SLN,1,0,0.2,0.2,0.4,0,1980,0.2,0
Garcia,24,1,0,0,garck001,Kiko,4,345,73,0,319,8,62,57,BAL,53,0,0.229,0.249,0.478,3,1980,0.194,2
Montanez,39,6,3,0,montw101,Willie,4,553,174,10,505,12,136,54,SDN,114,4,0.345,0.322,0.667,0,1980,0.269,6
Davis,0,0,0,0,davir001,Ron,0,1,0,0,1,0,0,1,NYA,0,0,0.0,0.0,0.0,0,1980,0.0,0
Butera,3,0,1,0,butes001,Sal,2,93,24,0,88,1,23,6,MIN,22,0,0.273,0.29,0.563,1,1980,0.261,1
Salazar,9,1,1,0,salal001,Luis,4,187,78,1,176,4,57,25,SDN,45,7,0.443,0.358,0.801,3,1980,0.324,1
Rose,66,1,6,0,rosep001,Pete,9,745,232,5,665,42,185,31,PHI,141,1,0.349,0.347,0.696,4,1980,0.278,4
Evans,17,1,0,0,evanb101,Barry,0,151,39,1,131,3,29,20,SDN,23,2,0.298,0.305,0.603,2,1980,0.221,3
Gray,3,2,0,0,grayg101,Gary,2,57,15,1,54,1,8,13,CLE,5,0,0.278,0.193,0.471,0,1980,0.148,0
Dilone,28,0,2,0,dilom001,Miguel,5,573,228,1,541,30,180,44,CLE,141,9,0.421,0.366,0.787,6,1980,0.333,2
Swisher,1,0,0,0,swiss101,Steve,0,25,7,0,24,1,6,7,SLN,5,0,0.292,0.28,0.572,0,1980,0.25,0
Vuckovich,1,0,0,0,vuckp001,Pete,0,90,19,0,89,6,13,13,SLN,7,0,0.213,0.156,0.369,9,1980,0.146,0
Moreno,3,2,0,0,morej101,Jose,0,53,19,2,49,2,9,12,NYN,4,1,0.388,0.226,0.614,1,1980,0.184,1
Cruz,59,2,1,0,cruzj002,Julio,13,512,109,0,450,9,88,49,SEA,74,3,0.242,0.289,0.531,13,1980,0.196,2
Bair,0,0,0,0,baird001,Doug,0,2,0,0,2,0,0,1,CIN,0,0,0.0,0.0,0.0,0,1980,0.0,0
Bochy,5,0,1,0,bochb002,Bruce,1,28,5,1,22,1,4,7,HOU,3,0,0.227,0.357,0.584,0,1980,0.182,0
Bochte,71,13,0,0,bochb001,Bruce,1,612,237,13,534,34,156,80,SEA,105,4,0.444,0.371,0.815,4,1980,0.292,7
Ferguson,38,9,0,0,fergj101,Joe,2,217,75,11,176,3,41,45,LAN,27,2,0.426,0.364,0.79,1,1980,0.233,3
Oliver,39,19,5,0,oliva001,Al,6,717,315,9,665,43,209,46,TEX,144,3,0.474,0.353,0.827,1,1980,0.314,8
Hough,0,0,0,0,hougc001,Charlie,0,2,1,0,2,0,1,1,TEX,1,0,0.5,0.5,1.0,0,1980,0.5,0
Yastrzemski,44,15,0,0,yastc101,Carl,2,416,168,5,369,21,100,38,BOS,63,1,0.455,0.346,0.801,1,1980,0.271,3
Crowley,29,12,0,0,crowt101,Terry,1,269,111,2,238,8,67,20,BAL,47,0,0.466,0.357,0.823,2,1980,0.282,2
Cruz,14,3,2,0,cruzt001,Todd,4,363,104,1,346,14,79,62,CHA,61,1,0.301,0.262,0.563,6,1980,0.228,1
Mura,3,0,0,0,muras001,Steve,0,54,9,0,51,2,7,21,SDN,5,0,0.176,0.185,0.361,0,1980,0.137,0
Mackanin,14,4,0,0,mackp101,Pete,7,350,115,2,334,18,85,33,MIN,63,0,0.344,0.283,0.627,7,1980,0.254,2
Rayford,0,0,0,0,rayff001,Floyd,0,18,4,0,18,0,4,5,BAL,4,0,0.222,0.222,0.444,0,1980,0.222,0
Stieb,0,0,0,0,stied001,Dave,0,1,0,0,1,0,0,0,TOR,0,0,0.0,0.0,0.0,0,1980,0.0,0
Oates,2,1,1,0,oatej101,Johnny,1,67,18,0,64,3,12,3,NYA,8,0,0.281,0.224,0.505,0,1980,0.188,0
Foli,19,3,6,0,folit001,Tim,5,560,162,1,528,22,131,23,PIT,106,0,0.307,0.279,0.586,13,1980,0.248,7
Clark,11,5,2,0,clarb002,Bob,2,276,87,0,263,10,60,42,CAL,44,1,0.331,0.264,0.595,1,1980,0.228,0
Poff,3,1,0,0,poffj101,John,0,71,25,2,68,1,17,7,MIL,13,2,0.368,0.282,0.65,0,1980,0.25,0
Monday,28,10,1,0,mondr001,Rick,1,222,91,3,193,7,52,48,LAN,34,1,0.472,0.365,0.837,0,1980,0.269,0
Alexander,0,0,0,0,alexm101,Matt,0,3,2,0,3,1,1,0,PIT,0,0,0.667,0.333,1.0,0,1980,0.333,0
Dade,12,0,0,0,dadep101,Paul,2,64,10,0,52,0,10,9,SDN,10,0,0.192,0.344,0.536,0,1980,0.192,0
Lacy,28,7,2,0,lacyl001,Leon,5,320,142,3,286,20,93,33,PIT,62,4,0.497,0.384,0.881,2,1980,0.325,4
Morales,22,8,1,0,moraj001,Jose,4,273,118,4,248,17,73,18,MIN,46,2,0.476,0.352,0.828,3,1980,0.294,2
Harrah,98,11,7,0,harrt001,Toby,8,683,213,3,571,22,150,59,CLE,113,4,0.373,0.373,0.746,2,1980,0.263,7
Zachry,2,0,0,0,zachp001,Pat,2,60,2,0,57,0,2,21,NYN,2,0,0.035,0.067,0.102,5,1980,0.035,1
Horton,39,8,4,0,hortw101,Willie,3,389,110,2,342,10,74,69,SEA,55,1,0.322,0.301,0.623,2,1980,0.216,4
Bonham,1,0,0,0,bonhb101,Bill,1,7,0,0,6,0,0,1,CIN,0,0,0.0,0.143,0.143,0,1980,0.0,0
Hassey,49,8,1,0,hassr001,Ron,6,454,174,3,398,18,124,51,CLE,94,4,0.437,0.383,0.82,1,1980,0.312,6
Ramirez,1,0,0,0,ramim001,Mario,0,27,5,0,26,0,5,7,NYN,5,0,0.192,0.222,0.414,1,1980,0.192,0
Welch,1,0,0,0,welcb001,Bob,0,81,20,0,80,3,17,13,LAN,14,0,0.25,0.222,0.472,5,1980,0.212,0
Woods,37,15,1,0,wooda001,Al,2,422,179,3,383,18,112,34,TOR,77,2,0.467,0.355,0.822,5,1980,0.292,1
Sanguillen,3,0,0,0,sangm101,Manny,0,55,15,2,52,3,12,1,PIT,9,0,0.288,0.273,0.561,2,1980,0.231,0
Raines,6,0,0,0,raint001,Tim,1,28,1,0,22,0,1,3,MON,1,0,0.045,0.25,0.295,1,1980,0.045,0
Knight,36,14,4,0,knigr001,Ray,12,676,258,9,632,39,163,62,CIN,103,7,0.408,0.3,0.708,5,1980,0.258,4
Stember,0,0,0,0,stemj101,Jeff,0,1,0,0,1,0,0,1,SFN,0,0,0.0,0.0,0.0,0,1980,0.0,0
Kinney,1,0,0,0,kinnd101,Dennis,0,15,1,0,14,0,1,7,SDN,1,0,0.071,0.133,0.204,1,1980,0.071,0
Chalk,18,1,2,0,chald101,Dave,2,193,57,0,170,10,42,27,KCA,30,1,0.335,0.321,0.656,0,1980,0.247,3
Kuntz,5,0,0,0,kuntr001,Rusty,0,66,18,0,61,4,14,12,CHA,10,0,0.295,0.288,0.583,0,1980,0.23,0
Ellis,14,1,1,0,ellij101,John,1,203,57,1,185,9,43,23,TEX,32,1,0.308,0.286,0.594,0,1980,0.232,3
Murphy,59,33,1,0,murpd001,Dale,9,635,290,9,572,27,160,130,ATL,98,2,0.507,0.347,0.854,2,1980,0.28,2
Murphy,102,13,2,0,murpd002,Dwayne,8,725,218,7,618,18,157,94,OAK,124,2,0.353,0.36,0.713,22,1980,0.254,3
Molitor,48,9,3,0,molip001,Paul,6,523,197,4,467,29,137,48,MIL,97,2,0.422,0.359,0.781,6,1980,0.293,5
Garner,46,5,2,0,garnp001,Phil,9,624,196,12,569,27,142,53,PIT,104,6,0.344,0.304,0.648,7,1980,0.25,7
Sanderson,2,0,0,0,sands001,Scott,1,82,8,0,80,3,5,33,MON,2,0,0.1,0.085,0.185,8,1980,0.062,0
Dwyer,28,9,2,0,dwyej001,Jim,2,294,114,5,263,11,74,23,BOS,53,1,0.433,0.354,0.787,1,1980,0.281,1
Cedeno,66,10,1,0,cedec001,Cesar,8,570,232,11,501,32,154,70,HOU,104,8,0.463,0.388,0.851,1,1980,0.307,2
Scott,2,0,0,0,scotm001,Mike,0,11,1,0,9,0,1,5,NYN,1,0,0.111,0.273,0.384,0,1980,0.111,0
Yeager,20,2,0,0,yeags001,Steve,4,249,62,6,228,8,48,54,LAN,38,0,0.272,0.273,0.545,0,1980,0.211,1
Brohamer,18,2,0,0,brohj101,Jack,3,229,65,4,209,7,50,9,CLE,40,1,0.311,0.297,0.608,4,1980,0.239,2
McGraw,0,0,0,0,mcgrt001,Tug,0,14,2,0,14,0,2,2,PHI,2,0,0.143,0.143,0.286,3,1980,0.143,0
Rosello,9,2,0,0,rosed101,Dave,2,136,38,0,124,3,29,19,CLE,24,0,0.306,0.279,0.585,2,1980,0.234,3
Geronimo,14,2,0,0,geroc101,Cesar,3,165,48,3,150,5,37,24,CIN,30,0,0.32,0.309,0.629,2,1980,0.247,1
Dues,0,0,0,0,duesh101,Hal,0,3,0,0,3,0,0,2,MON,0,0,0.0,0.0,0.0,0,1980,0.0,0
Wilson,12,0,0,0,wilsm001,Mookie,1,121,37,0,109,5,26,19,NYN,18,3,0.339,0.314,0.653,2,1980,0.239,0
Lezcano,39,18,3,0,lezcs001,Sixto,8,467,173,3,421,19,94,75,MIL,54,3,0.411,0.291,0.702,3,1980,0.223,4
Roberge,0,0,0,0,robeb001,Bert,0,5,0,0,5,0,0,2,HOU,0,0,0.0,0.0,0.0,1,1980,0.0,0
Sularz,9,0,0,0,sulag101,Guy,3,80,19,1,70,1,16,6,SFN,14,1,0.271,0.312,0.583,2,1980,0.229,1
Smith,0,0,0,0,smitd001,Dave,1,16,0,0,16,0,0,4,HOU,0,0,0.0,0.0,0.0,2,1980,0.0,0
Klutts,13,4,0,0,klutm101,Mickey,2,214,79,1,200,14,53,41,OAK,35,0,0.395,0.308,0.703,1,1980,0.265,1
Stanhouse,1,0,0,0,stand101,Don,0,3,0,0,2,0,0,0,LAN,0,0,0.0,0.333,0.333,0,1980,0.0,0
Madlock,45,10,4,0,madlb001,Bill,9,549,197,12,497,22,137,33,PIT,101,4,0.396,0.339,0.735,0,1980,0.276,3
Morgan,93,11,0,0,morgj001,Joe,5,570,172,6,472,17,112,47,HOU,79,5,0.364,0.36,0.724,3,1980,0.237,5
Wolfe,0,1,0,0,wolfl101,Larry,0,25,7,0,24,1,3,5,BOS,1,0,0.292,0.12,0.412,0,1980,0.125,1
Castillo,0,0,0,0,castr001,Robert,0,11,1,0,11,0,1,4,LAN,1,0,0.091,0.091,0.182,1,1980,0.091,0
Niemann,0,0,0,0,niemr001,Randy,0,6,2,0,6,0,2,0,HOU,2,0,0.333,0.333,0.666,0,1980,0.333,0
Jones,2,0,0,0,joner101,Randy,2,62,3,0,60,0,3,16,SDN,3,0,0.05,0.081,0.131,7,1980,0.05,0
Lerch,5,0,0,0,lercr001,Randy,0,58,14,0,53,2,12,6,PHI,10,0,0.264,0.293,0.557,4,1980,0.226,0
Berenyi,0,0,0,0,bereb001,Bruce,0,15,0,0,15,0,0,2,CIN,0,0,0.0,0.0,0.0,4,1980,0.0,0
Falcone,2,0,0,0,falcp001,Pete,2,55,6,0,53,0,6,12,NYN,6,0,0.113,0.145,0.258,6,1980,0.113,0
Smith,2,0,0,0,smitk101,Keith,0,33,5,1,31,1,4,2,SLN,3,0,0.161,0.182,0.343,0,1980,0.129,0
Romero,9,1,0,0,romee001,Ed,3,116,37,0,107,7,27,10,MIL,19,0,0.346,0.31,0.656,2,1980,0.252,0
Joshua,5,2,0,0,joshv101,Von,0,68,25,1,63,2,15,15,SDN,10,1,0.397,0.294,0.691,0,1980,0.238,0
Bordley,1,0,0,0,bordb101,Bill,0,11,1,0,10,0,1,1,SFN,1,0,0.1,0.182,0.282,2,1980,0.1,0
Strain,10,0,0,0,straj101,Joe,1,215,60,0,204,6,54,10,SFN,48,0,0.294,0.298,0.592,7,1980,0.265,1
Mulliniks,7,0,0,0,mullr001,Rance,0,63,17,0,55,3,14,10,KCA,11,0,0.309,0.333,0.642,0,1980,0.255,1
Almon,9,0,0,0,almob001,Bill,3,161,39,1,151,4,29,32,NYN,22,3,0.258,0.236,0.494,0,1980,0.192,1
Soto,0,0,0,0,sotom001,Mario,0,62,2,0,62,0,2,16,CIN,2,0,0.032,0.032,0.064,8,1980,0.032,0
Murray,54,32,2,0,murre001,Eddie,8,688,322,10,626,36,186,70,BAL,116,2,0.514,0.352,0.866,0,1980,0.297,6
Mumphrey,49,4,0,0,mumpj001,Jerry,7,630,210,4,577,24,168,89,SDN,137,3,0.364,0.344,0.708,5,1980,0.291,4
Hobson,25,11,0,0,hobsb101,Butch,3,354,113,2,326,6,74,68,BOS,57,0,0.347,0.28,0.627,0,1980,0.227,3
Richard,0,1,0,0,richj101,J.R.,0,46,11,0,46,2,6,14,HOU,3,0,0.239,0.13,0.369,4,1980,0.13,0
Brooks,5,1,2,0,brooh001,Hubie,0,90,32,0,83,2,25,9,NYN,21,1,0.386,0.356,0.742,1,1980,0.301,0
Brusstar,0,0,0,0,brusw001,Warren,0,1,0,0,1,0,0,1,PHI,0,0,0.0,0.0,0.0,0,1980,0.0,0
Valenzuela,0,0,0,0,valef001,Fernando,0,1,0,0,1,0,0,1,LAN,0,0,0.0,0.0,0.0,0,1980,0.0,0
Moore,7,1,0,0,moorj101,Junior,1,132,40,0,124,4,31,11,CHA,25,1,0.323,0.288,0.611,1,1980,0.25,1
Pate,3,0,0,0,pateb101,Bob,0,48,12,0,43,2,10,6,MON,8,0,0.279,0.271,0.55,1,1980,0.233,2
Niekro,4,0,0,0,niekj001,Joe,0,120,27,0,116,5,22,15,HOU,17,0,0.233,0.217,0.45,18,1980,0.19,0
